entity_id,dataset,known_pct,unknown_pct,raw_weight,required_weight
FLY-BY-JING,STRAIN,0,1,0,1.75
MAYA-KAIMAL,STRUCTURAL,0.12,0.88,0.3,2.5
MAYA-KAIMAL,COMPLEXITY,0,1,0,2
MAYA-KAIMAL,STRAIN,0,1,0,1.75
WILD-EARTH,STRUCTURAL,0.2,0.8,0.5,2.5
WILD-EARTH,COMPLEXITY,0,1,0,2
WILD-EARTH,STRAIN,0,1,0,1.75
THE-GOOD-PATCH,STRUCTURAL,0,1,0,2.5
THE-GOOD-PATCH,COMPLEXITY,0.15,0.85,0.3,2
THE-GOOD-PATCH,STRAIN,0,1,0,1.75
JOOLIES,STRUCTURAL,0.12,0.88,0.3,2.5
JOOLIES,COMPLEXITY,0,1,0,2
JOOLIES,STRAIN,0,1,0,1.75
MALK-ORGANICS,STRUCTURAL,0.12,0.88,0.3,2.5
MALK-ORGANICS,COMPLEXITY,0,1,0,2
MALK-ORGANICS,STRAIN,0,1,0,1.75
KOIA,STRUCTURAL,0.12,0.88,0.3,2.5
KOIA,COMPLEXITY,0,1,0,2
KOIA,STRAIN,0,1,0,1.75
EVOLVED-BY-NATURE,STRUCTURAL,0.2,0.8,0.5,2.5
EVOLVED-BY-NATURE,COMPLEXITY,0,1,0,2
EVOLVED-BY-NATURE,STRAIN,0,1,0,1.75
OATLY-USA-0107,STRUCTURAL,0.12,0.88,0.3,2.5
OATLY-USA-0107,COMPLEXITY,0,1,0,2
OATLY-USA-0107,STRAIN,0,1,0,1.75
PRIME-ROOTS,STRUCTURAL,0.2,0.8,0.5,2.5
PRIME-ROOTS,COMPLEXITY,0,1,0,2
PRIME-ROOTS,STRAIN,0,1,0,1.75
MEATI-FOODS,STRUCTURAL,0.12,0.88,0.3,2.5
MEATI-FOODS,COMPLEXITY,0,1,0,2
MEATI-FOODS,STRAIN,0,1,0,1.75
NATURE-S-FYND,STRUCTURAL,0.12,0.88,0.3,2.5
NATURE-S-FYND,COMPLEXITY,0,1,0,2
NATURE-S-FYND,STRAIN,0,1,0,1.75
PERFECT-DAY,STRUCTURAL,0.12,0.88,0.3,2.5
PERFECT-DAY,COMPLEXITY,0,1,0,2
PERFECT-DAY,STRAIN,0,1,0,1.75
FORMO,STRUCTURAL,0.2,0.8,0.5,2.5
FORMO,COMPLEXITY,0,1,0,2
FORMO,STRAIN,0,1,0,1.75
CHANGE-FOODS,STRUCTURAL,0.12,0.88,0.3,2.5
CHANGE-FOODS,COMPLEXITY,0,1,0,2
CHANGE-FOODS,STRAIN,0,1,0,1.75
LYPRI,STRUCTURAL,0,1,0,2.5
LYPRI,COMPLEXITY,0.15,0.85,0.3,2
LYPRI,STRAIN,0,1,0,1.75
NOURISH-INGREDIENTS,STRUCTURAL,0.2,0.8,0.5,2.5
NOURISH-INGREDIENTS,COMPLEXITY,0,1,0,2
NOURISH-INGREDIENTS,STRAIN,0,1,0,1.75
MYCOWORKS,STRUCTURAL,0.2,0.8,0.5,2.5
MYCOWORKS,COMPLEXITY,0,1,0,2
MYCOWORKS,STRAIN,0,1,0,1.75
BOLT-THREADS,STRUCTURAL,0.2,0.8,0.5,2.5
BOLT-THREADS,COMPLEXITY,0,1,0,2
BOLT-THREADS,STRAIN,0,1,0,1.75
PANGAIA,STRUCTURAL,0.12,0.88,0.3,2.5
PANGAIA,COMPLEXITY,0,1,0,2
PANGAIA,STRAIN,0,1,0,1.75
OUTERKNOWN,STRUCTURAL,0.12,0.88,0.3,2.5
OUTERKNOWN,COMPLEXITY,0,1,0,2
OUTERKNOWN,STRAIN,0,1,0,1.75
TENTREE,STRUCTURAL,0.12,0.88,0.3,2.5
TENTREE,COMPLEXITY,0,1,0,2
TENTREE,STRAIN,0,1,0,1.75
GIRLFRIEND-COLLECTIVE,STRUCTURAL,0.2,0.8,0.5,2.5
GIRLFRIEND-COLLECTIVE,COMPLEXITY,0,1,0,2
GIRLFRIEND-COLLECTIVE,STRAIN,0,1,0,1.75
CHRISTY-DAWN,STRUCTURAL,0.12,0.88,0.3,2.5
CHRISTY-DAWN,COMPLEXITY,0,1,0,2
CHRISTY-DAWN,STRAIN,0,1,0,1.75
RE-DONE,STRUCTURAL,0.2,0.8,0.5,2.5
RE-DONE,COMPLEXITY,0,1,0,2
RE-DONE,STRAIN,0,1,0,1.75
AMOUR-VERT,STRUCTURAL,0.12,0.88,0.3,2.5
AMOUR-VERT,COMPLEXITY,0,1,0,2
AMOUR-VERT,STRAIN,0,1,0,1.75
EILEEN-FISHER,STRUCTURAL,0.2,0.8,0.5,2.5
EILEEN-FISHER,COMPLEXITY,0,1,0,2
EILEEN-FISHER,STRAIN,0,1,0,1.75
PATAGONIA-PROVISIONS-0126,STRUCTURAL,0.2,0.8,0.5,2.5
PATAGONIA-PROVISIONS-0126,COMPLEXITY,0,1,0,2
PATAGONIA-PROVISIONS-0126,STRAIN,0,1,0,1.75
UNITED-BY-BLUE,STRUCTURAL,0.12,0.88,0.3,2.5
UNITED-BY-BLUE,COMPLEXITY,0,1,0,2
UNITED-BY-BLUE,STRAIN,0,1,0,1.75
PACT,STRUCTURAL,0.2,0.8,0.5,2.5
PACT,COMPLEXITY,0,1,0,2
PACT,STRAIN,0,1,0,1.75
KNOWN-SUPPLY,STRUCTURAL,0,1,0,2.5
KNOWN-SUPPLY,COMPLEXITY,0,1,0,2
KNOWN-SUPPLY,STRAIN,0.171,0.829,0.3,1.75
TONLE,STRUCTURAL,0.2,0.8,0.5,2.5
TONLE,COMPLEXITY,0,1,0,2
TONLE,STRAIN,0,1,0,1.75
ABLE,STRUCTURAL,0.12,0.88,0.3,2.5
ABLE,COMPLEXITY,0,1,0,2
ABLE,STRAIN,0,1,0,1.75
MATA-TRADERS,STRUCTURAL,0.2,0.8,0.5,2.5
MATA-TRADERS,COMPLEXITY,0,1,0,2
MATA-TRADERS,STRAIN,0,1,0,1.75
RAVEN-LILY,STRUCTURAL,0.12,0.88,0.3,2.5
RAVEN-LILY,COMPLEXITY,0,1,0,2
RAVEN-LILY,STRAIN,0,1,0,1.75
NOONDAY-COLLECTION,STRUCTURAL,0.12,0.88,0.3,2.5
NOONDAY-COLLECTION,COMPLEXITY,0,1,0,2
NOONDAY-COLLECTION,STRAIN,0,1,0,1.75
SOKO,STRUCTURAL,0.12,0.88,0.3,2.5
SOKO,COMPLEXITY,0,1,0,2
SOKO,STRAIN,0,1,0,1.75
THE-CITIZENRY,STRUCTURAL,0.12,0.88,0.3,2.5
THE-CITIZENRY,COMPLEXITY,0,1,0,2
THE-CITIZENRY,STRAIN,0,1,0,1.75
MADE-TRADE,STRUCTURAL,0.2,0.8,0.5,2.5
MADE-TRADE,COMPLEXITY,0,1,0,2
MADE-TRADE,STRAIN,0,1,0,1.75
AVOCADO-GREEN-BRANDS,STRUCTURAL,0.2,0.8,0.5,2.5
AVOCADO-GREEN-BRANDS,COMPLEXITY,0,1,0,2
AVOCADO-GREEN-BRANDS,STRAIN,0,1,0,1.75
PLUSHBEDS,STRUCTURAL,0.12,0.88,0.3,2.5
PLUSHBEDS,COMPLEXITY,0,1,0,2
PLUSHBEDS,STRAIN,0,1,0,1.75
SAATVA,STRUCTURAL,0.12,0.88,0.3,2.5
SAATVA,COMPLEXITY,0,1,0,2
SAATVA,STRAIN,0,1,0,1.75
EIGHT-SLEEP,STRUCTURAL,0.12,0.88,0.3,2.5
EIGHT-SLEEP,COMPLEXITY,0,1,0,2
EIGHT-SLEEP,STRAIN,0,1,0,1.75
BRYTE,STRUCTURAL,0.2,0.8,0.5,2.5
BRYTE,COMPLEXITY,0,1,0,2
BRYTE,STRAIN,0,1,0,1.75
SLEEP-NUMBER,STRUCTURAL,0.2,0.8,0.5,2.5
SLEEP-NUMBER,COMPLEXITY,0,1,0,2
SLEEP-NUMBER,STRAIN,0,1,0,1.75
CASPER-LABS,STRUCTURAL,0.2,0.8,0.5,2.5
CASPER-LABS,COMPLEXITY,0,1,0,2
CASPER-LABS,STRAIN,0,1,0,1.75
HELIX-DNA,STRUCTURAL,0.2,0.8,0.5,2.5
HELIX-DNA,COMPLEXITY,0,1,0,2
HELIX-DNA,STRAIN,0,1,0,1.75
23ANDME,STRUCTURAL,0.2,0.8,0.5,2.5
23ANDME,COMPLEXITY,0,1,0,2
23ANDME,STRAIN,0,1,0,1.75
VIOME,STRUCTURAL,0.12,0.88,0.3,2.5
VIOME,COMPLEXITY,0,1,0,2
VIOME,STRAIN,0,1,0,1.75
INSIDETRACKER,STRUCTURAL,0.12,0.88,0.3,2.5
INSIDETRACKER,COMPLEXITY,0,1,0,2
INSIDETRACKER,STRAIN,0,1,0,1.75
LEVELS-HEALTH,STRUCTURAL,0.12,0.88,0.3,2.5
LEVELS-HEALTH,COMPLEXITY,0,1,0,2
LEVELS-HEALTH,STRAIN,0,1,0,1.75
WHOOP,STRUCTURAL,0.12,0.88,0.3,2.5
WHOOP,COMPLEXITY,0,1,0,2
WHOOP,STRAIN,0,1,0,1.75
OURA,STRUCTURAL,0.2,0.8,0.5,2.5
OURA,COMPLEXITY,0,1,0,2
OURA,STRAIN,0,1,0,1.75
FITBIT,STRUCTURAL,0.2,0.8,0.5,2.5
FITBIT,COMPLEXITY,0,1,0,2
FITBIT,STRAIN,0,1,0,1.75
GARMIN,STRUCTURAL,0.12,0.88,0.3,2.5
GARMIN,COMPLEXITY,0,1,0,2
GARMIN,STRAIN,0,1,0,1.75
HYPERICE,STRUCTURAL,0.12,0.88,0.3,2.5
HYPERICE,COMPLEXITY,0,1,0,2
HYPERICE,STRAIN,0,1,0,1.75
THERABODY,STRUCTURAL,0.2,0.8,0.5,2.5
THERABODY,COMPLEXITY,0,1,0,2
THERABODY,STRAIN,0,1,0,1.75
HYDROW,STRUCTURAL,0.12,0.88,0.3,2.5
HYDROW,COMPLEXITY,0,1,0,2
HYDROW,STRAIN,0,1,0,1.75
TONAL,STRUCTURAL,0.2,0.8,0.5,2.5
TONAL,COMPLEXITY,0,1,0,2
TONAL,STRAIN,0,1,0,1.75
MIRROR,STRUCTURAL,0.2,0.8,0.5,2.5
MIRROR,COMPLEXITY,0,1,0,2
MIRROR,STRAIN,0,1,0,1.75
PELOTON,STRUCTURAL,0.2,0.8,0.5,2.5
PELOTON,COMPLEXITY,0,1,0,2
PELOTON,STRAIN,0,1,0,1.75
NORDICTRACK,STRUCTURAL,0.12,0.88,0.3,2.5
NORDICTRACK,COMPLEXITY,0,1,0,2
NORDICTRACK,STRAIN,0,1,0,1.75
SOLE-FITNESS,STRUCTURAL,0.12,0.88,0.3,2.5
SOLE-FITNESS,COMPLEXITY,0,1,0,2
SOLE-FITNESS,STRAIN,0,1,0,1.75
